float_type,exp_bits,sig_bits,rounding_mode,best_test_acc (%),note
q43,4,3,1,91.24,
q43,4,3,2,91.70,
q43,4,3,3,91.23,
q43,4,3,4,91.10,
q43,4,3,5,91.35,
q43,4,3,6,91.34,
q52,5,2,1,91.19,
q52,5,2,2,90.93,
q52,5,2,3,91.14,
q52,5,2,4,91.33,
q52,5,2,5,91.06,
q52,5,2,6,91.03,
"custom(5, 5)",5,5,1,91.50,
"custom(5, 5)",5,5,2,91.54,
"custom(5, 5)",5,5,3,91.25,
"custom(5, 5)",5,5,4,91.42,
"custom(5, 5)",5,5,5,90.91,
"custom(5, 5)",5,5,6,91.49,
"custom(5, 7)",5,7,1,91.35,
"custom(5, 7)",5,7,2,91.18,
"custom(5, 7)",5,7,3,91.21,
"custom(5, 7)",5,7,4,91.49,
"custom(5, 7)",5,7,5,91.16,
"custom(5, 7)",5,7,6,91.26,
"custom(8, 4)",8,4,1,91.30,
"custom(8, 4)",8,4,2,91.56,
"custom(8, 4)",8,4,3,91.39,
"custom(8, 4)",8,4,4,90.91,
"custom(8, 4)",8,4,5,91.05,
"custom(8, 4)",8,4,6,91.35,
half,5,10,1,91.13,
half,5,10,2,91.65,
half,5,10,3,91.01,
half,5,10,4,91.02,
half,5,10,5,91.21,
half,5,10,6,91.45,
bfloat16,8,7,1,91.18,
bfloat16,8,7,2,91.29,
bfloat16,8,7,3,91.08,
bfloat16,8,7,4,91.31,
bfloat16,8,7,5,91.25,
bfloat16,8,7,6,91.23,
tf32,8,10,1,91.35,
tf32,8,10,2,91.33,
tf32,8,10,3,91.56,
tf32,8,10,4,91.30,
tf32,8,10,5,91.15,
tf32,8,10,6,91.15,
fp32,8,23,1,91.44,
fp32,8,23,2,91.23,
fp32,8,23,3,91.39,
fp32,8,23,4,91.12,
fp32,8,23,5,91.38,
fp32,8,23,6,91.23,
